epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.1385,1.51888,3.77543,1.28508,0.66231,0.37576,0.4089,0.25775,1.3395,2.14927,1.23982,9.78414e-05,9.78414e-05,9.78414e-05
2,187.359,1.37864,2.10747,1.22207,0.65737,0.48399,0.52093,0.32731,1.29227,1.64185,1.21425,0.000157065,0.000157065,0.000157065
3,281.378,1.30168,1.72877,1.18663,0.7319,0.52171,0.57946,0.3653,1.27324,1.48368,1.19627,0.00017748,0.00017748,0.00017748
4,378.121,1.24801,1.53811,1.16465,0.74091,0.57518,0.62418,0.42141,1.17735,1.34184,1.15393,0.000119364,0.000119364,0.000119364
5,473.781,1.20865,1.44173,1.14353,0.75576,0.60629,0.669,0.45282,1.14908,1.23878,1.13405,6.1152e-05,6.1152e-05,6.1152e-05
