epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,193.674,1.51657,3.79315,1.28292,0.69829,0.37079,0.40192,0.2453,1.37218,2.13402,1.22852,9.78414e-05,9.78414e-05,9.78414e-05
2,353.528,1.38036,2.08368,1.21769,0.64348,0.48683,0.51887,0.33368,1.27756,1.67071,1.20676,0.000157065,0.000157065,0.000157065
3,505.223,1.29787,1.72228,1.18749,0.767,0.53512,0.5872,0.38986,1.21392,1.4568,1.17476,0.00017748,0.00017748,0.00017748
4,654.318,1.24481,1.52763,1.16084,0.7988,0.55169,0.63006,0.42299,1.17696,1.32589,1.14799,0.000119364,0.000119364,0.000119364
5,803.788,1.20559,1.42182,1.14233,0.80418,0.58491,0.6542,0.44152,1.15137,1.24597,1.13851,6.1152e-05,6.1152e-05,6.1152e-05
